Sort 1,Date,,Sheet 1,December Live List,Start Date,"December 1, 2025",,,
Week 2,Castleberry Stair 3 cast #3,"30 treads ( re build, to be re used for cast #4 ) ",10/13/2025,Cast,cast,35,1,1,"Cast 
30 Treads"
Week 3,Castleberry Stair 3 cast #3,"30 treads ( re build, to be re used for cast #4 ) ",10/14/2025,Demold,dm,15,1,1,"Demold 
30 Forms"
Week 3,Castleberry Stair 3 cast #3,"30 treads ( re build, to be re used for cast #4 ) ",10/15/2025,Finish,g&f,13,1,3,"Grind and Fill
30 Treads"
Week 3,Castleberry Stair 3 cast #3,"30 treads ( re build, to be re used for cast #4 ) ",10/16/2025,Finish,gof 1 ,13,2,3,"Grind off Fill
30 Treads"
Week 3,Castleberry Stair 3 cast #3,"30 treads ( re build, to be re used for cast #4 ) ",10/17/2025,Crating,build,6,1,1,"Build Crate
30 Treads"
Week 3,Castleberry Stair 3 cast #3,"30 treads ( re build, to be re used for cast #4 ) ",10/20/2025,Seal,seal,5,1,3,"Seal 
30 Treads"
Week 4,Castleberry Stair 3 cast #3,"30 treads ( re build, to be re used for cast #4 ) ",10/21/2025,Seal,seal 2,5,2,3,"Seal 
30 Treads"
Week 4,Castleberry Stair 3 cast #3,"30 treads ( re build, to be re used for cast #4 ) ",10/22/2025,Seal,tu 3,4,3,3,"Touchup 
30 Treads"
Week 4,Castleberry Stair 3 cast #3,"30 treads ( re build, to be re used for cast #4 ) ",10/23/2025,Finish,rack 3,4,3,3,"Rack
30 Treads"
Week 4,Castleberry Stair 3 cast #3,"30 treads ( re build, to be re used for cast #4 ) ",10/23/2025,Load,load,6,1,1,"Load 
30 Treads"
Week 3,Castleberry Stair 3 cast #4,"30 treads ( re  build, to be re used for cast #4 ) ",10/15/2025,Mill,mill ,5,1,1,"
Clean and Prep 30 Forms"
Week 3,Castleberry Stair 3 cast #4,"30 treads ( re  build, to be re used for cast #4 ) ",10/16/2025,Form Out,rb,15,1,1,"Form Out
30 Forms"
Week 3,Castleberry Stair 3 cast #4,"30 treads ( re  build, to be re used for cast #4 ) ",10/20/2025,Cast,cast,35,1,1,"Cast:
30 Treads"
Week 4,Castleberry Stair 3 cast #4,"30 treads ( re  build, to be re used for cast #4 ) ",10/21/2025,Demold,dm,15,1,1,"Demold
30 Treads
return forms to under containers"
Week 4,Castleberry Stair 3 cast #4,"30 treads ( re  build, to be re used for cast #4 ) ",10/22/2025,Finish,g&f,13,1,3,"Grind and Fill
30 treads"
Week 4,Castleberry Stair 3 cast #4,"30 treads ( re  build, to be re used for cast #4 ) ",10/23/2025,Finish,gof 1 ,13,2,3,"Grind off Fill
30 treads"
Week 4,Castleberry Stair 3 cast #4,"30 treads ( re  build, to be re used for cast #4 ) ",10/24/2025,Seal,seal,5,1,2,"Seal 
30 treads"
Week 4,Castleberry Stair 3 cast #4,"30 treads ( re  build, to be re used for cast #4 ) ",10/27/2025,Seal,tu 3,9,2,2,"Seal 
30 treads"
Week 5,Castleberry Stair 3 cast #4,"30 treads ( re  build, to be re used for cast #4 ) ",10/29/2025,Crating,build,12,1,1,
