Sort 1,Date,,Sheet 1,December Live List,Start Date,"December 1, 2025",,,
,U of M stair Y  Cast #2     ,12 landings ,11/5/2025,Cast,cast,35,1,1,Cast 12 Landings
,U of M stair Y  Cast #2     ,12 landings ,11/6/2025,Demold,dm,15,1,1,Demold 6 Landings
,U of M stair Y  Cast #2     ,12 landings ,11/7/2025,Finish,grind,13,1,3,Grind 12 Landings
,U of M stair Y  Cast #2     ,12 landings ,11/10/2025,Finish,g&f 2,15,2,3,Grind and Fill 12 Landings
,U of M stair Y  Cast #2     ,12 landings ,11/11/2025,Finish,gof 3,15,3,3,Grind off Fill 12 Landings
,U of M stair Y  Cast #2     ,12 landings ,11/13/2025,Seal,seal,7,1,3,Seal 12 Landings
,U of M stair Y  Cast #2     ,12 landings ,11/14/2025,Seal,seal 2,8,2,3,Seal 12 Landings
,U of M stair Y  Cast #2     ,12 landings ,11/17/2025,Seal,tu 3,5,3,3,touch up 12 Landings
,U of M stair Y  Cast #2     ,12 landings ,11/17/2025,Special,cut,5,3,6,
,U of M stair Y  Cast #2     ,12 landings ,11/18/2025,Special,azak,9,4,6,Remove Azek 12 Landings
,U of M stair Y  Cast #2     ,12 landings ,11/19/2025,Special,strips 2,9,5,6,Install Strip 12 Landings
,U of M stair Y  Cast #2     ,12 landings ,11/20/2025,Special,tu 3,5,6,6,
,U of M stair Y  Cast #2     ,12 landings ,11/21/2025,Load,load,15,1,1,Load 12 Landings
,U of M stair Y  Cast #3      ,18 treads ( use forms from cast #1),11/10/2025,Form Out,fo,15,1,1,"Rebuild 18 Treads
Mill team to help"
,U of M stair Y  Cast #3      ,18 treads ( use forms from cast #1),11/10/2025,Mill,mill,7,1,1,"Check and Prep 18 Treads
Replace Parts as Req.
cut new Azak and plastic strips"
,U of M stair Y  Cast #3      ,18 treads ( use forms from cast #1),11/10/2025,Special,rebar,15,1,2,fab re bar for 18 treads
,U of M stair Y  Cast #3      ,18 treads ( use forms from cast #1),11/11/2025,Cast,cast,35,1,1,Cast 18 Treads
,U of M stair Y  Cast #3      ,18 treads ( use forms from cast #1),11/12/2025,Demold,dm,15,1,1,Demold 18 Treads
,U of M stair Y  Cast #3      ,18 treads ( use forms from cast #1),11/17/2025,Finish,grind,13,1,3,Grind  18 Treads
,U of M stair Y  Cast #3      ,18 treads ( use forms from cast #1),11/18/2025,Finish,g&f 2,13,2,3,Grind and FIll 18 Treads
,U of M stair Y  Cast #3      ,18 treads ( use forms from cast #1),11/19/2025,Finish,gof 3,8,3,3,Grind off Fill 18 Treads
,U of M stair Y  Cast #3      ,18 treads ( use forms from cast #1),11/20/2025,Seal,seal,5,1,3,Seal 18 treads
,U of M stair Y  Cast #3      ,18 treads ( use forms from cast #1),11/21/2025,Seal,seal 2,6,2,3,Seal 18 Treads
,U of M stair Y  Cast #3      ,18 treads ( use forms from cast #1),11/24/2025,Crating,build,8,1,1,Build Crate 18 Treads
,U of M stair Y  Cast #3      ,18 treads ( use forms from cast #1),11/24/2025,Seal,tu 3,3,3,3,Touch up 18 Treads
,U of M stair Y  Cast #3      ,18 treads ( use forms from cast #1),11/26/2025,Special,azak,12,2,2,
,U of M stair Y  Cast #4   ,17 treads ( use forms from cast #3),11/12/2025,Mill,mill,7,1,1,"Check and Prep 18 Treads
Replace Parts as Req.
cut new Azak and plastic strips"
,U of M stair Y  Cast #4   ,17 treads ( use forms from cast #3),11/14/2025,Form Out,rb,15,1,1,Re build 17 treads
,U of M stair Y  Cast #4   ,17 treads ( use forms from cast #3),11/17/2025,Special,rebar,15,1,1,
,U of M stair Y  Cast #4   ,17 treads ( use forms from cast #3),11/18/2025,Cast,cast,35,1,1,
,U of M stair Y  Cast #4   ,17 treads ( use forms from cast #3),11/19/2025,Demold,dm,15,1,1,
,U of M stair Y  Cast #4   ,17 treads ( use forms from cast #3),11/20/2025,Finish,g&f,13,1,3,
,U of M stair Y  Cast #4   ,17 treads ( use forms from cast #3),11/21/2025,Finish,g&f 2,13,2,3,
,U of M stair Y  Cast #4   ,17 treads ( use forms from cast #3),11/24/2025,Finish,gof 3,8,3,3,
,U of M stair Y  Cast #5  ,17 treads ( use forms from cast #4),11/21/2025,Mill,mill,7,1,1,
,U of M stair Y  Cast #5  ,17 treads ( use forms from cast #4),11/24/2025,Form Out,rb,15,1,1,
,U of M stair Y  Cast #5  ,17 treads ( use forms from cast #4),11/24/2025,Special,rebar,15,1,1,
,U of M stair Y  Cast #5  ,17 treads ( use forms from cast #4),11/25/2025,Cast,cast,35,1,1,
,U of M stair Y  Cast #5  ,17 treads ( use forms from cast #4),11/26/2025,Demold,dm,15,1,1,
,U of M stair Z               cast #1,20 treads   modify forms from Y ( to be re used for cast #2),12/3/2025,Mill,mill,10,1,1,
,U of M stair Z               cast #1,20 treads   modify forms from Y ( to be re used for cast #2),12/4/2025,Form Out,fo,20,1,1,
,U of M stair Z               cast #1,20 treads   modify forms from Y ( to be re used for cast #2),12/5/2025,Special,rebar,10,1,5,
,U of M stair Z               cast #1,20 treads   modify forms from Y ( to be re used for cast #2),12/8/2025,Cast,cast,30,1,1,
,U of M stair Z               cast #1,20 treads   modify forms from Y ( to be re used for cast #2),12/8/2025,Special,plates,5,2,5,
,U of M stair Z               cast #1,20 treads   modify forms from Y ( to be re used for cast #2),12/9/2025,Demold,dm,20,1,1,
,U of M stair Z               cast #1,20 treads   modify forms from Y ( to be re used for cast #2),12/10/2025,Finish,g&f,15,1,2,
,U of M stair Z               cast #1,20 treads   modify forms from Y ( to be re used for cast #2),12/11/2025,Finish,Gof,15,2,2,
,U of M stair Z               cast #1,20 treads   modify forms from Y ( to be re used for cast #2),12/15/2025,Crating,buld,11,1,2,
,U of M stair Z               cast #1,20 treads   modify forms from Y ( to be re used for cast #2),12/15/2025,Seal,seal,8,1,2,
,U of M stair Z               cast #1,20 treads   modify forms from Y ( to be re used for cast #2),12/16/2025,Seal,seal 2,8,2,2,
,U of M stair Z               cast #1,20 treads   modify forms from Y ( to be re used for cast #2),12/18/2025,Special,azak,10,3,5,
,U of M stair Z               cast #1,20 treads   modify forms from Y ( to be re used for cast #2),12/19/2025,Special,strips,10,4,5,
,U of M stair Z               cast #1,20 treads   modify forms from Y ( to be re used for cast #2),12/22/2025,Special,tu,10,5,5,
,U of M stair Z               cast #1,20 treads   modify forms from Y ( to be re used for cast #2),12/24/2025,Crating,rack,7,2,2,
,U of M stair Z               cast #2,20 treads   modify forms from Y ( to be re used for cast #3),12/10/2025,Mill,mill,10,1,1,
,U of M stair Z               cast #2,20 treads   modify forms from Y ( to be re used for cast #3),12/11/2025,Form Out,fo,17,1,1,
,U of M stair Z               cast #2,20 treads   modify forms from Y ( to be re used for cast #3),12/12/2025,Special,rebar,10,1,4,
,U of M stair Z               cast #2,20 treads   modify forms from Y ( to be re used for cast #3),12/15/2025,Cast,cast,30,1,1,
,U of M stair Z               cast #2,20 treads   modify forms from Y ( to be re used for cast #3),12/15/2025,Special,plates,5,2,4,
,U of M stair Z               cast #2,20 treads   modify forms from Y ( to be re used for cast #3),12/16/2025,Demold,dm,20,1,1,
,U of M stair Z               cast #2,20 treads   modify forms from Y ( to be re used for cast #3),12/17/2025,Finish,g&f,15,1,2,
,U of M stair Z               cast #2,20 treads   modify forms from Y ( to be re used for cast #3),12/18/2025,Finish,Gof,15,2,2,
,U of M stair Z               cast #2,20 treads   modify forms from Y ( to be re used for cast #3),12/22/2025,Crating,buld,11,1,1,
,U of M stair Z               cast #2,20 treads   modify forms from Y ( to be re used for cast #3),12/22/2025,Seal,seal,7,1,2,
,U of M stair Z               cast #2,20 treads   modify forms from Y ( to be re used for cast #3),12/23/2025,Seal,seal 2,8,2,2,
,U of M stair Z               cast #2,20 treads   modify forms from Y ( to be re used for cast #3),12/29/2025,Special,azak,8,3,4,
,U of M stair Z               cast #2,20 treads   modify forms from Y ( to be re used for cast #3),12/30/2025,Special,strips,8,4,4,
,U of M stair Z               cast #2,20 treads   modify forms from Y ( to be re used for cast #3),1/2/2026,Load,load,12,1,1,
,U of M stair Z               cast #3,20 treads   modify forms from Y ( to be re used for cast #4),12/17/2025,Mill,mill,7,1,1,
,U of M stair Z               cast #3,20 treads   modify forms from Y ( to be re used for cast #4),12/18/2025,Form Out,rb,15,1,1,
,U of M stair Z               cast #3,20 treads   modify forms from Y ( to be re used for cast #4),12/19/2025,Special,rebar,10,1,2,
,U of M stair Z               cast #3,20 treads   modify forms from Y ( to be re used for cast #4),12/22/2025,Cast,cast,30,1,1,
,U of M stair Z               cast #3,20 treads   modify forms from Y ( to be re used for cast #4),12/22/2025,Special,plates,5,2,2,
,U of M stair Z               cast #3,20 treads   modify forms from Y ( to be re used for cast #4),12/23/2025,Demold,dm,20,1,1,
,U of M stair Z               cast #3,20 treads   modify forms from Y ( to be re used for cast #4),12/24/2025,Finish,g&f,15,1,2,
,U of M stair Z               cast #3,20 treads   modify forms from Y ( to be re used for cast #4),12/29/2025,Finish,Gof,15,2,2,
,U of M stair Z               cast #4,20 treads   modify forms from Y ,12/24/2025,Mill,mill,7,1,1,
,U of M stair Z               cast #4,20 treads   modify forms from Y ,12/29/2025,Form Out,rb,15,1,1,
,U of M stair Z               cast #4,20 treads   modify forms from Y ,12/29/2025,Special,rebar,10,1,1,
,U of M stair Z               cast #5,6 landings    new build ( to be re used for cast #6),12/1/2025,Mill,mill ,7,1,1,
,U of M stair Z               cast #5,6 landings    new build ( to be re used for cast #6),12/2/2025,Form Out,fo,15,1,1,
,U of M stair Z               cast #5,6 landings    new build ( to be re used for cast #6),12/2/2025,Special,rebar,7,1,5,
,U of M stair Z               cast #5,6 landings    new build ( to be re used for cast #6),12/4/2025,Cast,cast,17,1,1,
,U of M stair Z               cast #5,6 landings    new build ( to be re used for cast #6),12/4/2025,Special,pltes,2,2,5,
,U of M stair Z               cast #5,6 landings    new build ( to be re used for cast #6),12/5/2025,Demold,dm,10,1,1,
,U of M stair Z               cast #5,6 landings    new build ( to be re used for cast #6),12/8/2025,Crating,build,6,1,2,
,U of M stair Z               cast #5,6 landings    new build ( to be re used for cast #6),12/8/2025,Finish,g&f,7,1,2,
,U of M stair Z               cast #5,6 landings    new build ( to be re used for cast #6),12/9/2025,Finish,gof,7,2,2,
,U of M stair Z               cast #5,6 landings    new build ( to be re used for cast #6),12/11/2025,Seal,seal,4,1,3,
,U of M stair Z               cast #5,6 landings    new build ( to be re used for cast #6),12/12/2025,Seal,seal 2,3,2,3,
,U of M stair Z               cast #5,6 landings    new build ( to be re used for cast #6),12/15/2025,Seal,tu 3,3,3,3,
,U of M stair Z               cast #5,6 landings    new build ( to be re used for cast #6),12/17/2025,Special,azak,2,3,5,
,U of M stair Z               cast #5,6 landings    new build ( to be re used for cast #6),12/18/2025,Special,strips,2,4,5,
,U of M stair Z               cast #5,6 landings    new build ( to be re used for cast #6),12/19/2025,Special,tu,2,5,5,
,U of M stair Z               cast #5,6 landings    new build ( to be re used for cast #6),12/22/2025,Crating,rack,3,2,2,
,U of M stair Z               cast #5,6 landings    new build ( to be re used for cast #6),12/30/2025,Load,load,6,1,1,
,U of M stair Z               cast #6,6 landings   RB    ( re use form form  cast #5),12/8/2025,Mill,mill ,7,1,1,
,U of M stair Z               cast #6,6 landings   RB    ( re use form form  cast #5),12/9/2025,Form Out,fo,15,1,1,
,U of M stair Z               cast #6,6 landings   RB    ( re use form form  cast #5),12/9/2025,Special,rebar,7,1,5,
,U of M stair Z               cast #6,6 landings   RB    ( re use form form  cast #5),12/11/2025,Cast,cast,17,1,1,
,U of M stair Z               cast #6,6 landings   RB    ( re use form form  cast #5),12/11/2025,Special,pltes,2,2,5,
,U of M stair Z               cast #6,6 landings   RB    ( re use form form  cast #5),12/12/2025,Demold,dm,10,1,1,
,U of M stair Z               cast #6,6 landings   RB    ( re use form form  cast #5),12/15/2025,Crating,build,6,1,1,
,U of M stair Z               cast #6,6 landings   RB    ( re use form form  cast #5),12/15/2025,Finish,g&f,7,1,2,
,U of M stair Z               cast #6,6 landings   RB    ( re use form form  cast #5),12/16/2025,Finish,gof,7,2,2,
,U of M stair Z               cast #6,6 landings   RB    ( re use form form  cast #5),12/18/2025,Seal,seal,4,1,3,
,U of M stair Z               cast #6,6 landings   RB    ( re use form form  cast #5),12/19/2025,Seal,seal 2,3,2,3,
,U of M stair Z               cast #6,6 landings   RB    ( re use form form  cast #5),12/22/2025,Seal,tu 3,3,3,3,
,U of M stair Z               cast #6,6 landings   RB    ( re use form form  cast #5),12/24/2025,Special,azak,2,3,5,
,U of M stair Z               cast #6,6 landings   RB    ( re use form form  cast #5),12/29/2025,Special,strips,2,4,5,
,U of M stair Z               cast #6,6 landings   RB    ( re use form form  cast #5),12/30/2025,Special,tu,2,5,5,
,U of M stair Z               cast #6,6 landings   RB    ( re use form form  cast #5),1/2/2026,Load,load,6,1,1,
,Union county Govt. Panels  Cast #1 ,xxx panels   ( new build) to be re used for cast #2,12/1/2025,Crating,rack,4,2,2,
,Union county Govt. Panels  Cast #1 ,xxx panels   ( new build) to be re used for cast #2,12/11/2025,Load,load,4,1,1,"Load 
20 Panels"
,Union county Govt. Panels  Cast #1 ,20 panels   ( new build) to be re used for cast #2,10/29/2025,Mill,mill,15,1,1,"Mill Parts
20 Panels 
Full 8' Length Oversized"
,Union county Govt. Panels  Cast #1 ,xxx panels   ( new build) to be re used for cast #2,11/21/2025,Form Out,fo,20,1,1,"Form Out
20 Panels 
Full 8' Length Oversized"
,Union county Govt. Panels  Cast #1 ,xxx panels   ( new build) to be re used for cast #2,11/24/2025,Cast,cast,25,1,1,Cast 20 Panels
,Union county Govt. Panels  Cast #1 ,xxx panels   ( new build) to be re used for cast #2,11/24/2025,Crating,build,4,1,2,"Build Crate 
20 Panels"
,Union county Govt. Panels  Cast #1 ,xxx panels   ( new build) to be re used for cast #2,11/25/2025,Demold,dm,10,1,1,"Demold 20 Panels
Remove all Rails 
Return all part to Container"
,Union county Govt. Panels  Cast #1 ,xxx panels   ( new build) to be re used for cast #2,11/26/2025,Finish,wash,10,1,1,Wash 20 Panels
,Union county Govt. Panels  Cast #2,xxx panels   ( re  build)  use forms form cast #1,12/1/2025,Seal,seal,7,1,2,"Seal 
21 Panels"
,Union county Govt. Panels  Cast #2,xxx panels   ( re  build)  use forms form cast #1,12/2/2025,Seal,tu 2,4,2,2,"Touch up
21 Panels"
,Union county Govt. Panels  Cast #2,xxx panels   ( re  build)  use forms form cast #1,12/4/2025,Crating,rack,4,1,1,"Build Crate
21 Panels"
,Union county Govt. Panels  Cast #2,xxx panels   ( re  build)  use forms form cast #1,12/11/2025,Load,load,4,1,1,"Load 
21 Panels"
,Union county Govt. Panels  Cast #2,xxx panels   ( re  build)  use forms form cast #1,11/26/2025,Mill,mill,3,1,1,
,Union county Govt. Panels  Cast #3,xxx panels   ( re  build)  use forms form cast #2,12/1/2025,Form Out,fo,7,1,1,
,Union county Govt. Panels  Cast #3,xxx panels   ( re  build)  use forms form cast #2,12/3/2025,Cast,cast,25,1,1,
,Union county Govt. Panels  Cast #3,xxx panels   ( re  build)  use forms form cast #2,12/4/2025,Demold,dm,10,1,1,
,Union county Govt. Panels  Cast #3,xxx panels   ( re  build)  use forms form cast #2,12/5/2025,Finish,wash,10,1,1,
,Union county Govt. Panels  Cast #3,xxx panels   ( re  build)  use forms form cast #2,12/8/2025,Crating,build,4,1,2,
,Union county Govt. Panels  Cast #3,xxx panels   ( re  build)  use forms form cast #2,12/8/2025,Seal,seal,7,1,2,
,Union county Govt. Panels  Cast #3,xxx panels   ( re  build)  use forms form cast #2,12/9/2025,Seal,tu 2,4,2,2,
,Union county Govt. Panels  Cast #3,xxx panels   ( re  build)  use forms form cast #2,12/11/2025,Crating,rack,4,2,2,
,Union county Govt. Panels  Cast #3,xxx panels   ( re  build)  use forms form cast #2,12/18/2025,Load,load,4,1,1,
,Union county Govt. Panels  Cast #4,xxx panels   ( re  build)  use forms form cast #3,12/2/2025,Mill,mill,3,1,1,
,Union county Govt. Panels  Cast #4,xxx panels   ( re  build)  use forms form cast #3,12/3/2025,Form Out,fo,7,1,1,
,Union county Govt. Panels  Cast #4,xxx panels   ( re  build)  use forms form cast #3,12/5/2025,Cast,cast,25,1,1,
,Union county Govt. Panels  Cast #4,xxx panels   ( re  build)  use forms form cast #3,12/8/2025,Crating,build,4,1,2,
,Union county Govt. Panels  Cast #4,xxx panels   ( re  build)  use forms form cast #3,12/8/2025,Demold,dm,10,1,1,
,Union county Govt. Panels  Cast #4,xxx panels   ( re  build)  use forms form cast #3,12/9/2025,Finish,wash,10,1,1,
,Union county Govt. Panels  Cast #4,xxx panels   ( re  build)  use forms form cast #3,12/11/2025,Seal,seal,7,1,2,
,Union county Govt. Panels  Cast #4,xxx panels   ( re  build)  use forms form cast #3,12/12/2025,Seal,tu 2,4,2,2,
,Union county Govt. Panels  Cast #4,xxx panels   ( re  build)  use forms form cast #3,12/15/2025,Crating,rack,4,2,2,
,Union county Govt. Panels  Cast #4,xxx panels   ( re  build)  use forms form cast #3,12/18/2025,Load,load,4,1,1,
,UTSA Communicating  stair Cast #5,"26 treads, 4 landings     ( use forms from cast #4)  ",9/29/2025,Finish,rack 3,5,1,1,"Grind and Fill
26 Treads
4 Landings"
,UTSA Communicating  stair Cast #5,"26 treads, 4 landings     ( use forms from cast #4)  ",9/30/2025,Load,load,7,1,1,"Load:
26 Treads 
4 Landings"
,UTSA Communicating  stair Cast #5,"26 treads, 4 landings     ( use forms from cast #4)  ",10/24/2025,Ship,ship,2,1,1,"Ship
26 Treads 4 landings"
,Westminster stair cast #1 ,"40 treads , landings  ( 1 time use )  cast Mondays",9/30/2025,Load,load,9,1,1,"Load:
40 Treads
6 Landing"
,Westminster stair cast #1 ,"40 treads , landings  ( 1 time use )  cast Mondays",10/7/2025,Ship,ship,1,1,1,"Ship 
40 Treads
6 Landings"
